Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Monolith,No,Available,14,85.0,3.0,2.0,2.75,6.0,Multiple Balconies,Not Available,Partially Renovated,97000.0,Malatia-Sebastia
Stone,No,Not Available,3,113.0,4.0,1.0,3.0,2.0,Open Balcony,Partially Furnished,Euro Renovation,260000.0,Kentron
Panel,No,Available,16,96.0,3.0,1.0,2.75,11.0,Multiple Balconies,Available,Old Renovation,110000.0,Malatia-Sebastia
Stone,No,Not Available,5,57.0,3.0,1.0,2.7,5.0,Closed Balcony,Available,Euro Renovation,85000.0,Erebuni
Monolith,No,Available,14,85.0,3.0,2.0,2.75,3.0,Multiple Balconies,Partially Furnished,Old Renovation,84000.0,Malatia-Sebastia
Panel,No,Not Available,9,92.0,3.0,1.0,3.0,2.0,Open Balcony,Available,Euro Renovation,125000.0,Ajapnyak
Stone,No,Available,6,69.0,2.0,1.0,3.0,5.0,Not Available,Available,Designer Renovated,250000.0,Kentron
Monolith,Yes,Available,16,48.0,2.0,1.0,3.0,13.0,Open Balcony,Available,Designer Renovated,160000.0,Davtashen
Panel,No,Available,9,43.0,2.0,1.0,2.75,2.0,Not Available,Partially Furnished,Euro Renovation,100000.0,Qanaqer-Zeytun
Panel,No,Not Available,4,45.0,2.0,1.0,2.8,4.0,Not Available,Partially Furnished,Cosmetic Renovation,61500.0,Shengavit
Monolith,Yes,Available,8,46.0,2.0,1.0,2.8,2.0,Not Available,Not Available,Capital Renovated,105000.0,Arabkir
Monolith,Yes,Available,5,70.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,124000.0,Qanaqer-Zeytun
Panel,No,Available,11,65.0,2.0,1.0,2.7,11.0,Open Balcony,Available,Designer Renovated,165000.0,Kentron
Panel,No,Available,9,67.0,2.0,1.0,2.8,3.0,Closed Balcony,Partially Furnished,Old Renovation,89500.0,Arabkir
Stone,No,Not Available,4,65.0,2.0,1.0,3.2,3.0,Open Balcony,Available,Euro Renovation,117000.0,Arabkir
Monolith,Yes,Available,18,110.0,3.0,2.0,3.5,10.0,Open Balcony,Partially Furnished,Capital Renovated,190000.0,Davtashen
Stone,No,Available,8,68.0,3.0,1.0,2.75,1.0,Closed Balcony,Partially Furnished,Euro Renovation,91000.0,Kentron
Panel,No,Available,9,54.0,2.0,1.0,2.8,2.0,Not Available,Not Available,Old Renovation,87000.0,Arabkir
Stone,No,Not Available,4,84.0,3.0,1.0,3.0,2.0,Closed Balcony,Available,Old Renovation,148000.0,Arabkir
Monolith,Yes,Available,12,105.0,3.0,1.0,3.0,6.0,Open Balcony,Available,Capital Renovated,198000.0,Arabkir
Stone,No,Not Available,5,68.0,3.0,1.0,2.8,5.0,Open Balcony,Not Available,Partially Renovated,77000.0,Erebuni
Stone,No,Not Available,4,77.0,3.0,1.0,2.75,4.0,Not Available,Available,Capital Renovated,107792.21,Ajapnyak
Stone,No,Not Available,5,104.0,3.0,1.0,2.8,3.0,Open Balcony,Available,Euro Renovation,185000.0,Arabkir
Panel,No,Available,9,77.0,3.0,1.0,2.8,3.0,Open Balcony,Available,Cosmetic Renovation,138000.0,Kentron
Panel,No,Not Available,5,61.0,2.0,1.0,2.6,1.0,Closed Balcony,Not Available,Partially Renovated,76000.0,Malatia-Sebastia
Stone,No,Not Available,4,68.0,2.0,1.0,3.0,4.0,Closed Balcony,Available,Designer Renovated,139000.0,Arabkir
Monolith,Yes,Available,16,62.0,3.0,1.0,3.0,14.0,Multiple Balconies,Not Available,Not Renovated,130000.0,Ajapnyak
Monolith,Yes,Available,16,104.0,3.0,1.0,3.0,10.0,Open Balcony,Not Available,Capital Renovated,175000.0,Arabkir
Monolith,Yes,Available,14,130.0,4.0,2.0,3.0,13.0,Open Balcony,Available,Capital Renovated,270000.0,Arabkir
Monolith,No,Available,9,43.0,2.0,1.0,2.75,3.0,Open Balcony,Available,Designer Renovated,108000.0,Erebuni
Monolith,Yes,Available,14,95.0,4.0,2.0,3.0,3.0,Open Balcony,Available,Capital Renovated,275000.0,Arabkir
Panel,No,Available,9,80.0,3.0,1.0,2.75,8.0,Multiple Balconies,Available,Euro Renovation,95000.0,Malatia-Sebastia
Monolith,Yes,Available,16,61.0,2.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,95000.0,Arabkir
Panel,No,Available,7,93.0,4.0,1.0,2.7,4.0,Open Balcony,Available,Cosmetic Renovation,200000.0,Kentron
Stone,No,Available,6,88.0,3.0,1.0,2.8,4.0,Closed Balcony,Not Available,Old Renovation,139000.0,Qanaqer-Zeytun
Monolith,No,Available,9,76.0,2.0,1.0,2.75,7.0,Closed Balcony,Available,Euro Renovation,145000.0,Kentron
Stone,No,Not Available,8,70.0,3.0,1.0,2.8,3.0,Not Available,Not Available,Old Renovation,112000.0,Kentron
Panel,No,Available,9,70.0,2.0,1.0,2.8,7.0,Closed Balcony,Available,Euro Renovation,110000.0,Shengavit
Panel,No,Available,9,83.0,4.0,1.0,2.8,5.0,Open Balcony,Not Available,Cosmetic Renovation,100000.0,Arabkir
Stone,No,Not Available,5,57.0,2.0,1.0,2.75,2.0,Closed Balcony,Available,Capital Renovated,100000.0,Arabkir
Stone,No,Not Available,5,58.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Old Renovation,127272.73,Arabkir
Panel,No,Available,14,61.0,3.0,1.0,2.8,9.0,Closed Balcony,Partially Furnished,Capital Renovated,92000.0,Arabkir
Stone,No,Not Available,6,87.0,3.0,1.0,3.0,6.0,Multiple Balconies,Available,Cosmetic Renovation,200000.0,Kentron
Panel,No,Available,9,83.0,4.0,1.0,2.8,1.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,89000.0,Nor Norq
Panel,No,Available,9,76.0,3.0,1.0,2.8,6.0,Not Available,Available,Euro Renovation,116500.0,Nor Norq
Stone,No,Not Available,5,97.0,4.0,1.0,2.7,3.0,Multiple Balconies,Available,Capital Renovated,162000.0,Nor Norq
Panel,No,Available,14,70.0,3.0,1.0,2.8,1.0,Not Available,Available,Cosmetic Renovation,105000.0,Arabkir
Stone,No,Not Available,5,64.0,2.0,1.0,2.7,5.0,Multiple Balconies,Available,Capital Renovated,89000.0,Nor Norq
Monolith,Yes,Available,16,67.0,2.0,1.0,3.2,6.0,Open Balcony,Available,Euro Renovation,170000.0,Kentron
Panel,No,Available,9,52.0,2.0,1.0,2.75,8.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,85000.0,Arabkir
Monolith,Yes,Available,13,69.0,2.0,1.0,3.0,2.0,Open Balcony,Available,Capital Renovated,163000.0,Kentron
Stone,No,Not Available,5,87.0,3.0,1.0,2.8,1.0,Closed Balcony,Available,Old Renovation,97000.0,Nor Norq
Monolith,No,Available,14,53.0,1.0,2.0,2.75,6.0,Closed Balcony,Available,Partially Renovated,66000.0,Malatia-Sebastia
Monolith,Yes,Available,16,90.0,3.0,2.0,3.0,3.0,Open Balcony,Not Available,Not Renovated,140000.0,Arabkir
Stone,No,Not Available,5,43.0,1.0,1.0,2.7,1.0,Closed Balcony,Available,Capital Renovated,67000.0,Nor Norq
Panel,No,Available,9,90.0,4.0,2.0,2.75,3.0,Multiple Balconies,Not Available,Old Renovation,85000.0,Malatia-Sebastia
Panel,No,Available,9,70.0,2.0,1.0,2.75,2.0,Closed Balcony,Available,Capital Renovated,123000.0,Qanaqer-Zeytun
Monolith,Yes,Available,15,70.0,3.0,1.0,3.0,7.0,Multiple Balconies,Available,Designer Renovated,185000.0,Qanaqer-Zeytun
Panel,No,Available,14,105.0,4.0,2.0,2.75,9.0,Multiple Balconies,Partially Furnished,Partially Renovated,115000.0,Malatia-Sebastia
Panel,No,Available,9,84.0,4.0,1.0,2.75,5.0,Open Balcony,Partially Furnished,Cosmetic Renovation,114025.97,Avan
Panel,No,Available,9,78.0,3.0,1.0,2.8,3.0,Closed Balcony,Available,Euro Renovation,110000.0,Shengavit
Panel,No,Not Available,5,51.0,2.0,1.0,2.6,2.0,Closed Balcony,Not Available,Old Renovation,60000.0,Nor Norq
Stone,No,Not Available,5,56.0,2.0,1.0,2.8,2.0,Closed Balcony,Available,Designer Renovated,180000.0,Kentron
Stone,No,Not Available,5,71.0,2.0,1.0,2.8,5.0,Closed Balcony,Available,Cosmetic Renovation,89000.0,Qanaqer-Zeytun
Panel,No,Available,9,95.0,3.0,1.0,2.8,5.0,Multiple Balconies,Partially Furnished,Old Renovation,117402.6,Avan
Monolith,Yes,Available,12,82.0,2.0,1.0,3.0,4.0,Open Balcony,Not Available,Not Renovated,180000.0,Arabkir
Stone,No,Not Available,5,52.0,2.0,1.0,2.8,5.0,Open Balcony,Available,Capital Renovated,74000.0,Nor Norq
Stone,No,Available,8,52.0,2.0,1.0,2.6,1.0,Not Available,Available,Euro Renovation,185000.0,Kentron
Monolith,Yes,Available,14,115.0,4.0,2.0,3.0,13.0,Open Balcony,Available,Capital Renovated,265000.0,Arabkir
Panel,No,Not Available,4,100.0,4.0,1.0,2.6,2.0,Closed Balcony,Available,Capital Renovated,120000.0,Shengavit
Stone,No,Available,9,95.0,3.0,1.0,2.8,5.0,Multiple Balconies,Available,Designer Renovated,210000.0,Arabkir
Stone,No,Not Available,5,92.0,3.0,1.0,2.8,5.0,Closed Balcony,Available,Designer Renovated,249000.0,Kentron
Panel,No,Available,10,80.0,3.0,2.0,2.8,10.0,Open Balcony,Available,Capital Renovated,200000.0,Kentron
Stone,No,Not Available,5,82.0,3.0,1.0,2.75,3.0,Open Balcony,Partially Furnished,Partially Renovated,127000.0,Qanaqer-Zeytun
Panel,No,Not Available,5,60.0,2.0,1.0,2.7,5.0,Closed Balcony,Available,Capital Renovated,83000.0,Malatia-Sebastia
Monolith,No,Not Available,5,64.0,2.0,1.0,2.8,1.0,Closed Balcony,Available,Capital Renovated,95000.0,Nor Norq
Monolith,No,Available,14,87.0,3.0,1.0,2.75,11.0,Closed Balcony,Available,Euro Renovation,120000.0,Malatia-Sebastia
Panel,No,Available,9,74.0,3.0,1.0,2.8,7.0,Closed Balcony,Not Available,Not Renovated,70000.0,Nor Norq
Panel,No,Available,10,72.0,2.0,1.0,2.8,5.0,Open Balcony,Not Available,Cosmetic Renovation,172500.0,Kentron
Panel,No,Not Available,5,49.0,2.0,1.0,2.7,2.0,Closed Balcony,Available,Old Renovation,75000.0,Nor Norq
Panel,No,Available,9,80.0,3.0,2.0,2.75,8.0,Closed Balcony,Available,Euro Renovation,93000.0,Malatia-Sebastia
Stone,No,Not Available,4,76.0,3.0,1.0,2.6,1.0,Closed Balcony,Available,Capital Renovated,105000.0,Ajapnyak
Monolith,Yes,Available,14,56.0,2.0,1.0,3.0,8.0,Open Balcony,Available,Euro Renovation,160000.0,Arabkir
Panel,No,Available,9,62.0,3.0,1.0,2.7,6.0,Closed Balcony,Available,Capital Renovated,83000.0,Nor Norq
Monolith,Yes,Available,10,42.0,2.0,1.0,2.75,10.0,Open Balcony,Not Available,Old Renovation,62000.0,Ajapnyak
Stone,No,Not Available,5,50.0,1.0,1.0,2.75,5.0,Closed Balcony,Partially Furnished,Partially Renovated,64000.0,Malatia-Sebastia
Stone,No,Not Available,5,57.0,2.0,1.0,2.8,3.0,Open Balcony,Available,Designer Renovated,143000.0,Arabkir
Stone,No,Not Available,5,35.0,1.0,1.0,2.7,4.0,Closed Balcony,Not Available,Not Renovated,60000.0,Nor Norq
Stone,No,Available,5,68.0,3.0,1.0,3.0,5.0,Not Available,Available,Euro Renovation,168000.0,Kentron
Panel,No,Available,9,67.0,2.0,1.0,2.7,9.0,Not Available,Available,Capital Renovated,83000.0,Ajapnyak
Stone,No,Not Available,5,70.0,2.0,1.0,2.75,3.0,Multiple Balconies,Available,Partially Renovated,110000.0,Arabkir
Monolith,No,Available,14,80.0,3.0,1.0,2.75,8.0,Closed Balcony,Partially Furnished,Partially Renovated,90000.0,Malatia-Sebastia
Panel,No,Available,9,100.0,3.0,1.0,2.8,9.0,Closed Balcony,Available,Capital Renovated,120000.0,Avan
Panel,No,Available,9,52.0,1.0,1.0,2.75,8.0,Closed Balcony,Available,Old Renovation,78000.0,Arabkir
Monolith,Yes,Available,14,112.0,3.0,1.0,2.8,8.0,Multiple Balconies,Available,Capital Renovated,280000.0,Davtashen
Stone,No,Not Available,6,97.0,3.0,1.0,2.75,1.0,Open Balcony,Partially Furnished,Partially Renovated,220000.0,Kentron
Panel,No,Available,10,67.0,3.0,1.0,2.8,4.0,Multiple Balconies,Partially Furnished,Euro Renovation,95000.0,Malatia-Sebastia
Panel,No,Available,9,93.0,4.0,1.0,2.75,2.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,115000.0,Davtashen
Stone,No,Not Available,5,48.0,2.0,1.0,2.8,5.0,Closed Balcony,Not Available,Cosmetic Renovation,65000.0,Nor Norq
Monolith,Yes,Available,17,110.0,4.0,2.0,3.0,2.0,Open Balcony,Not Available,Not Renovated,275000.0,Kentron
Stone,No,Not Available,5,43.0,1.0,1.0,2.8,4.0,Closed Balcony,Available,Euro Renovation,100000.0,Arabkir
Monolith,Yes,Available,14,72.0,3.0,1.0,3.0,8.0,Open Balcony,Not Available,Not Renovated,175000.0,Davtashen
Stone,No,Not Available,5,43.0,2.0,1.0,2.8,1.0,Open Balcony,Available,Capital Renovated,108000.0,Kentron
Monolith,Yes,Available,12,43.0,2.0,1.0,3.0,12.0,Not Available,Available,Euro Renovation,109500.0,Arabkir
Stone,No,Not Available,4,80.0,3.0,1.0,2.8,3.0,Not Available,Not Available,Not Renovated,88000.0,Shengavit
Panel,No,Available,16,99.0,4.0,2.0,2.8,3.0,Not Available,Partially Furnished,Capital Renovated,235000.0,Kentron
Stone,Yes,Available,6,105.0,4.0,1.0,2.8,2.0,Multiple Balconies,Partially Furnished,Capital Renovated,148000.0,Kentron
Stone,No,Not Available,5,56.0,2.0,1.0,2.75,1.0,Closed Balcony,Available,Cosmetic Renovation,95000.0,Arabkir
Stone,No,Not Available,4,32.0,2.0,1.0,3.2,2.0,Not Available,Available,Capital Renovated,120000.0,Kentron
Stone,No,Not Available,5,63.0,3.0,1.0,2.75,2.0,Multiple Balconies,Not Available,Designer Renovated,143000.0,Arabkir
Monolith,Yes,Available,18,60.0,2.0,1.0,3.0,12.0,Open Balcony,Not Available,Not Renovated,155000.0,Arabkir
Stone,No,Not Available,5,78.0,3.0,1.0,2.75,4.0,Multiple Balconies,Available,Capital Renovated,120000.0,Ajapnyak
Stone,No,Not Available,4,45.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Capital Renovated,84000.0,Arabkir
Monolith,Yes,Available,6,84.0,3.0,2.0,3.0,2.0,Open Balcony,Partially Furnished,Capital Renovated,205000.0,Kentron
Monolith,Yes,Available,6,70.0,2.0,1.0,2.8,5.0,Open Balcony,Partially Furnished,Capital Renovated,107000.0,Malatia-Sebastia
Panel,No,Available,12,70.0,2.0,1.0,2.75,7.0,Multiple Balconies,Not Available,Old Renovation,85000.0,Kentron
Panel,No,Available,9,85.0,3.0,1.0,2.8,2.0,Closed Balcony,Not Available,Old Renovation,90000.0,Avan
Panel,No,Not Available,5,51.0,2.0,1.0,2.6,5.0,Closed Balcony,Available,Capital Renovated,72000.0,Nor Norq
Stone,No,Not Available,5,78.0,3.0,1.0,2.75,3.0,Open Balcony,Not Available,Designer Renovated,169000.0,Arabkir
Monolith,Yes,Available,17,97.0,4.0,2.0,3.0,12.0,Open Balcony,Available,Capital Renovated,205000.0,Nor Norq
Stone,No,Not Available,5,74.0,3.0,1.0,3.0,2.0,Open Balcony,Partially Furnished,Euro Renovation,110000.0,Arabkir
Stone,No,Not Available,5,47.0,1.0,1.0,2.75,5.0,Closed Balcony,Partially Furnished,Euro Renovation,77500.0,Qanaqer-Zeytun
Stone,No,Not Available,5,50.0,2.0,1.0,2.75,3.0,Closed Balcony,Available,Capital Renovated,95000.0,Shengavit
Monolith,Yes,Available,9,68.0,2.0,1.0,3.0,3.0,Multiple Balconies,Available,Capital Renovated,189000.0,Kentron
Panel,No,Available,9,60.0,2.0,1.0,2.75,6.0,Closed Balcony,Not Available,Old Renovation,87000.0,Kentron
Monolith,Yes,Available,12,52.0,2.0,1.0,3.0,2.0,Not Available,Available,Capital Renovated,113000.0,Arabkir
Stone,No,Not Available,5,60.0,2.0,1.0,3.2,4.0,Closed Balcony,Available,Capital Renovated,137000.0,Arabkir
Panel,No,Not Available,4,127.0,3.0,2.0,2.6,1.0,Closed Balcony,Available,Euro Renovation,109000.0,Shengavit
Monolith,Yes,Available,8,102.0,4.0,2.0,3.0,4.0,Multiple Balconies,Not Available,Euro Renovation,193506.49,Arabkir
Monolith,Yes,Available,14,55.0,2.0,1.0,3.0,5.0,Not Available,Not Available,Designer Renovated,122000.0,Ajapnyak
Panel,No,Not Available,4,37.0,1.0,1.0,2.7,4.0,Closed Balcony,Available,Old Renovation,60000.0,Nor Norq
Monolith,Yes,Available,19,53.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Euro Renovation,260000.0,Kentron
Stone,No,Not Available,5,82.0,3.0,1.0,3.2,3.0,Not Available,Available,Capital Renovated,195000.0,Kentron
Stone,No,Not Available,5,50.0,1.0,2.0,2.75,1.0,Closed Balcony,Available,Euro Renovation,68000.0,Malatia-Sebastia
Panel,No,Available,14,81.0,3.0,1.0,2.7,9.0,Closed Balcony,Available,Cosmetic Renovation,122000.0,Arabkir
Monolith,Yes,Available,14,44.0,1.0,1.0,2.75,6.0,Closed Balcony,Available,Euro Renovation,110000.0,Kentron
Panel,No,Not Available,5,76.0,3.0,1.0,2.8,2.0,Open Balcony,Available,Capital Renovated,95000.0,Qanaqer-Zeytun
Panel,No,Available,9,65.0,2.0,1.0,2.75,8.0,Closed Balcony,Available,Old Renovation,72000.0,Malatia-Sebastia
Monolith,Yes,Available,13,64.0,2.0,1.0,3.0,7.0,Open Balcony,Not Available,Capital Renovated,130000.0,Kentron
Panel,No,Available,16,91.0,3.0,2.0,2.75,15.0,Multiple Balconies,Partially Furnished,Cosmetic Renovation,120000.0,Ajapnyak
Monolith,Yes,Available,7,130.0,3.0,2.0,2.8,3.0,Not Available,Available,Capital Renovated,270000.0,Arabkir
Stone,No,Not Available,5,60.0,3.0,1.0,2.8,4.0,Multiple Balconies,Available,Designer Renovated,102000.0,Nor Norq
Panel,No,Available,14,54.0,1.0,1.0,2.8,11.0,Closed Balcony,Available,Cosmetic Renovation,90000.0,Arabkir
Stone,No,Not Available,3,110.0,3.0,2.0,3.2,3.0,Open Balcony,Partially Furnished,Capital Renovated,140000.0,Malatia-Sebastia
Panel,No,Not Available,5,77.0,3.0,1.0,2.7,5.0,Open Balcony,Available,Cosmetic Renovation,85000.0,Avan
Stone,No,Not Available,4,80.0,3.0,1.0,3.0,2.0,Not Available,Available,Capital Renovated,205000.0,Kentron
Stone,No,Not Available,5,70.0,3.0,1.0,2.75,1.0,Closed Balcony,Not Available,Old Renovation,150000.0,Kentron
Stone,No,Not Available,4,124.0,4.0,2.0,3.0,3.0,Open Balcony,Not Available,Old Renovation,280000.0,Kentron
Panel,No,Available,14,55.0,1.0,2.0,2.75,3.0,Not Available,Partially Furnished,Old Renovation,85000.0,Davtashen
Panel,No,Available,10,65.0,3.0,1.0,2.75,5.0,Open Balcony,Available,Capital Renovated,230000.0,Kentron
Panel,No,Not Available,5,56.0,2.0,1.0,2.7,1.0,Closed Balcony,Not Available,Old Renovation,64000.0,Nor Norq
Stone,No,Available,7,52.0,2.0,1.0,2.8,6.0,Open Balcony,Partially Furnished,Cosmetic Renovation,108000.0,Kentron
Monolith,Yes,Available,18,57.0,2.0,1.0,3.0,9.0,Open Balcony,Available,Capital Renovated,178000.0,Kentron
Monolith,Yes,Available,13,50.0,2.0,1.0,3.0,13.0,Open Balcony,Available,Designer Renovated,255000.0,Kentron
Monolith,Yes,Available,20,75.0,3.0,1.0,3.2,9.0,Open Balcony,Not Available,Not Renovated,280000.0,Arabkir
Monolith,Yes,Available,21,64.0,2.0,2.0,3.0,15.0,Open Balcony,Not Available,Not Renovated,124675.32,Kentron
Monolith,No,Available,10,91.0,4.0,1.0,2.8,6.0,Open Balcony,Available,Cosmetic Renovation,260000.0,Kentron
Stone,No,Not Available,5,67.0,2.0,1.0,3.2,4.0,Not Available,Available,Euro Renovation,147000.0,Arabkir
Panel,No,Available,16,93.0,4.0,1.0,2.7,11.0,Multiple Balconies,Available,Cosmetic Renovation,97000.0,Ajapnyak
Monolith,Yes,Available,12,94.0,3.0,1.0,3.0,11.0,Open Balcony,Available,Designer Renovated,265000.0,Arabkir
Panel,No,Available,9,42.0,1.0,1.0,2.7,4.0,Closed Balcony,Available,Partially Renovated,61000.0,Nor Norq
Panel,Yes,Available,9,97.0,3.0,1.0,2.8,3.0,Multiple Balconies,Available,Old Renovation,165000.0,Arabkir
Stone,No,Not Available,5,50.0,2.0,1.0,2.8,4.0,Closed Balcony,Available,Capital Renovated,79000.0,Shengavit
Stone,No,Not Available,5,86.0,3.0,1.0,3.2,5.0,Closed Balcony,Partially Furnished,Capital Renovated,120000.0,Shengavit
Panel,No,Available,10,41.0,2.0,1.0,2.75,8.0,Not Available,Available,Capital Renovated,66500.0,Nor Norq
Monolith,Yes,Available,16,82.0,3.0,1.0,3.0,6.0,Multiple Balconies,Available,Designer Renovated,238000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,96.0,3.0,1.0,2.8,5.0,Open Balcony,Available,Capital Renovated,140000.0,Arabkir
Panel,No,Available,9,76.0,3.0,1.0,2.8,9.0,Not Available,Not Available,Designer Renovated,160000.0,Arabkir
Stone,No,Not Available,5,103.0,4.0,1.0,2.7,3.0,Multiple Balconies,Available,Capital Renovated,165000.0,Nor Norq
Panel,No,Available,14,62.0,2.0,1.0,2.75,1.0,Not Available,Available,Capital Renovated,133000.0,Arabkir
Monolith,Yes,Available,15,59.0,2.0,1.0,2.8,12.0,Open Balcony,Available,Capital Renovated,170000.0,Kentron
Panel,No,Available,9,42.0,2.0,1.0,2.75,5.0,Closed Balcony,Partially Furnished,Designer Renovated,93000.0,Arabkir
Stone,No,Not Available,5,52.0,2.0,1.0,2.8,5.0,Multiple Balconies,Partially Furnished,Designer Renovated,114000.0,Arabkir
Panel,No,Available,14,100.0,4.0,1.0,2.8,7.0,Multiple Balconies,Available,Cosmetic Renovation,190000.0,Arabkir
Stone,No,Not Available,5,78.0,3.0,1.0,2.8,5.0,Open Balcony,Available,Capital Renovated,134000.0,Arabkir
Monolith,Yes,Available,11,117.0,3.0,1.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,250000.0,Arabkir
Monolith,Yes,Available,6,55.0,3.0,1.0,3.0,5.0,Open Balcony,Available,Capital Renovated,249000.0,Kentron
Panel,No,Available,9,70.0,2.0,1.0,2.8,5.0,Closed Balcony,Partially Furnished,Partially Renovated,74000.0,Qanaqer-Zeytun
Panel,No,Available,9,80.0,3.0,2.0,2.75,4.0,Multiple Balconies,Not Available,Old Renovation,83000.0,Malatia-Sebastia
Panel,No,Not Available,10,105.0,3.0,1.0,2.8,8.0,Open Balcony,Partially Furnished,Partially Renovated,250000.0,Arabkir
Panel,No,Available,10,73.0,2.0,1.0,2.75,7.0,Closed Balcony,Partially Furnished,Old Renovation,160000.0,Kentron
Panel,No,Available,9,84.0,3.0,1.0,2.8,3.0,Closed Balcony,Partially Furnished,Euro Renovation,118000.0,Davtashen
Monolith,Yes,Available,18,65.0,2.0,1.0,3.0,15.0,Open Balcony,Not Available,Not Renovated,133000.0,Arabkir
Monolith,Yes,Available,9,45.0,2.0,1.0,3.0,2.0,Not Available,Available,Designer Renovated,118000.0,Arabkir
Stone,No,Not Available,4,54.0,2.0,1.0,2.6,4.0,Open Balcony,Not Available,Capital Renovated,74000.0,Ajapnyak
Panel,No,Available,9,76.0,3.0,1.0,2.75,1.0,Not Available,Partially Furnished,Euro Renovation,120000.0,Davtashen
Stone,Yes,Available,9,80.0,3.0,2.0,3.5,1.0,Not Available,Available,Euro Renovation,160000.0,Arabkir
Panel,No,Available,9,75.0,3.0,2.0,2.75,8.0,Closed Balcony,Partially Furnished,Partially Renovated,81000.0,Malatia-Sebastia
Panel,No,Available,14,96.0,3.0,1.0,2.7,14.0,Closed Balcony,Available,Partially Renovated,125000.0,Ajapnyak
Monolith,Yes,Available,6,65.0,2.0,1.0,3.0,4.0,Not Available,Not Available,Not Renovated,115000.0,Arabkir
Stone,No,Not Available,3,67.0,3.0,1.0,3.2,2.0,Open Balcony,Available,Partially Renovated,225000.0,Kentron
Panel,No,Available,9,92.0,3.0,1.0,2.8,6.0,Open Balcony,Available,Cosmetic Renovation,197000.0,Kentron
Panel,No,Available,12,88.0,3.0,2.0,2.8,1.0,Multiple Balconies,Available,Not Renovated,142857.14,Arabkir
Monolith,Yes,Available,14,75.0,3.0,1.0,2.7,11.0,Open Balcony,Not Available,Partially Renovated,95000.0,Avan
Panel,No,Available,12,90.0,3.0,1.0,2.7,12.0,Open Balcony,Partially Furnished,Old Renovation,170000.0,Kentron
Stone,No,Not Available,4,73.0,3.0,1.0,2.75,2.0,Closed Balcony,Available,Capital Renovated,107000.0,Ajapnyak
Panel,No,Available,9,78.0,3.0,1.0,2.8,2.0,Closed Balcony,Available,Capital Renovated,123500.0,Malatia-Sebastia
Panel,No,Available,9,85.0,4.0,1.0,2.75,7.0,Closed Balcony,Available,Euro Renovation,125000.0,Malatia-Sebastia
